ADM_CD,ADM_NM,osmid,travel_time_from_origin,travel_time_to_dest,travel_time_total,zone_000,zone_005,zone_010,zone_015,zone_020,zone_025,zone_030,zone_035,zone_040,zone_045
11010530,사직동,225886,25.733333333333334,9.433333333333334,35.16666666666667,,,,,,,Y,Y,,
11010540,삼청동,227637,24.15,15.866666666666667,40.016666666666666,,,,,,Y,,,,
11010550,부암동,227760,24.95,14.433333333333334,39.38333333333333,,,,,,Y,Y,,,
11030740,한남동,613893,23.716666666666665,15.25,38.96666666666667,,,,,,Y,,,,
11040520,왕십리2동,344469,15.266666666666667,24.266666666666666,39.53333333333333,,,,,Y,,,,,
11040540,마장동,342921,12.866666666666667,26.116666666666667,38.983333333333334,,,,Y,,,,,,
11020680,중림동,223619,28.4,5.933333333333334,34.33333333333333,,,,,,,Y,Y,,
11020580,장충동,340600,20.016666666666666,15.766666666666667,35.78333333333333,,,,,,Y,,,,
11020590,광희동,340787,16.633333333333333,16.1,32.733333333333334,,,,,Y,Y,,,,
11040550,사근동,342951,15.116666666666667,27.983333333333334,43.1,,,,Y,Y,,,,,
11030510,후암동,226533,29.733333333333334,12.633333333333333,42.36666666666667,,,,,,,Y,,,
11030520,용산2가동,224585,25.65,12.9,38.55,,,,,,,Y,,,
11030530,남영동,223266,29.1,8.2,37.3,,,,,,,Y,Y,,
11030570,원효로2동,225090,35.333333333333336,7.6,42.93333333333334,,,,,,,,Y,Y,
11030580,효창동,223267,34.416666666666664,6.95,41.36666666666667,,,,,,,,Y,,
11030590,용문동,225668,35.18333333333333,7.066666666666666,42.25,,,,,,,,Y,Y,
11040590,금호1가동,344244,16.683333333333334,23.716666666666665,40.4,,,,,Y,,,,,
11040700,용답동,646909,13.05,31.8,44.85,,,Y,Y,,,,,,
11080660,길음1동,347507,13.35,29.766666666666666,43.11666666666667,,,,Y,,,,,,
11080810,성북동,227644,18.033333333333335,22.933333333333334,40.96666666666667,,,,,Y,,,,,
11080820,삼선동,588163,13.633333333333333,24.583333333333332,38.21666666666667,,,,Y,Y,,,,,
11080830,동선동,344951,11.016666666666667,25.133333333333333,36.15,,,,Y,,,,,,
11060720,휘경1동,347769,4.833333333333333,34.1,38.93333333333334,,Y,Y,,,,,,,
11060890,이문1동,346257,4.483333333333333,35.9,40.38333333333333,,Y,,,,,,,,
11060910,답십리1동,563239,10.15,28.933333333333334,39.083333333333336,,,,Y,,,,,,
11080720,월곡2동,346641,7.716666666666667,31.533333333333335,39.25,,,Y,,,,,,,
11080620,정릉1동,348208,11.666666666666666,27.716666666666665,39.38333333333333,,,,Y,,,,,,
11010570,무악동,225951,28.4,9.933333333333334,38.33333333333333,,,,,,,Y,Y,,
11010630,종로5·6가동,342104,14.866666666666667,19.5,34.36666666666667,,,,Y,Y,Y,,,,
11010640,이화동,342293,17.15,21.733333333333334,38.88333333333333,,,,,Y,,,,,
11010670,창신1동,342850,12.216666666666667,19.6,31.81666666666667,,,,Y,Y,Y,,,,
11010680,창신2동,342064,15.15,20.3,35.45,,,,,Y,,,,,
11020600,을지로동,223360,17.466666666666665,14.283333333333333,31.75,,,,,Y,Y,Y,,,
11130520,천연동,221685,27.333333333333332,8.616666666666667,35.95,,,,,,,Y,Y,,
11140610,염리동,674439,34.0,4.0,38.0,,,,,,,,Y,Y,
11130730,충현동,221679,28.033333333333335,7.316666666666666,35.35,,,,,,,Y,Y,,
11130740,북아현동,554128,30.166666666666668,4.033333333333333,34.2,,,,,,,,Y,Y,
11130750,신촌동,637022,30.233333333333334,6.966666666666667,37.2,,,,,,,,Y,,
11080630,정릉2동,647138,13.716666666666667,27.333333333333332,41.05,,,,Y,,,,,,
11080640,정릉3동,228366,16.95,22.8,39.75,,,,,Y,,,,,
11010690,창신3동,613881,13.433333333333334,22.45,35.88333333333333,,,,Y,Y,,,,,
11010700,숭인1동,587946,11.7,21.566666666666666,33.266666666666666,,,,Y,Y,,,,,
11010710,숭인2동,342282,9.316666666666666,22.5,31.816666666666666,,,Y,Y,Y,,,,,
11010720,청운효자동,223688,27.833333333333332,11.533333333333333,39.36666666666667,,,,,,,Y,,,
11010730,혜화동,227889,18.116666666666667,21.866666666666667,39.983333333333334,,,,,Y,,,,,
11020520,소공동,224422,24.8,8.183333333333334,32.983333333333334,,,,,,Y,Y,Y,,
11020540,회현동,636835,28.066666666666666,8.45,36.516666666666666,,,,,,,Y,Y,,
11020550,명동,815381,23.983333333333334,14.033333333333333,38.016666666666666,,,,,,Y,Y,,,
11020570,필동,226070,23.133333333333333,12.6,35.733333333333334,,,,,,Y,Y,,,
11020650,신당5동,340593,13.333333333333334,22.516666666666666,35.85,,,,Y,Y,,,,,
11030690,서빙고동,222426,29.75,14.383333333333333,44.13333333333333,,,,,,,Y,,,
11030710,청파동,221898,29.166666666666668,7.316666666666666,36.483333333333334,,,,,,,Y,Y,,
11030720,원효로1동,226469,32.0,6.7,38.7,,,,,,,,Y,,
11030730,한강로동,222082,31.333333333333332,9.983333333333333,41.31666666666666,,,,,,,,Y,,
11020670,황학동,340601,11.2,20.55,31.75,,,,Y,Y,,,,,
11020690,신당동,342263,13.983333333333333,17.883333333333333,31.866666666666667,,,,Y,Y,Y,,,,
11020700,다산동,563229,19.0,18.383333333333333,37.38333333333333,,,,,Y,Y,,,,
11020710,약수동,563113,19.766666666666666,20.666666666666668,40.43333333333334,,,,,Y,,,,,
11020720,청구동,646459,18.783333333333335,22.6,41.38333333333334,,,,,Y,,,,,
11020730,동화동,343433,18.816666666666666,23.133333333333333,41.95,,,,,Y,,,,,
11030640,이촌2동,222530,34.85,8.383333333333333,43.233333333333334,,,,,,,,Y,,
11030660,이태원2동,636748,24.5,13.683333333333334,38.18333333333334,,,,,,Y,Y,,,
11040560,행당1동,646771,14.55,27.083333333333332,41.63333333333333,,,,Y,,,,,,
11040570,행당2동,344248,16.033333333333335,26.166666666666668,42.2,,,,Y,Y,,,,,
11040580,응봉동,613934,16.6,27.133333333333333,43.733333333333334,,,,Y,Y,,,,,
11040710,왕십리도선동,614051,11.55,22.733333333333334,34.28333333333333,,,,Y,Y,,,,,
11140770,공덕동,582512,31.2,2.5,33.7,,,,,,,,Y,Y,
11040720,금호2·3가동,343541,19.183333333333334,23.066666666666666,42.25,,,,,Y,,,,,
11060710,회기동,347649,0.0,31.75,31.75,,Y,Y,,,,,,,
11060730,휘경2동,345478,5.683333333333334,34.75,40.43333333333334,,,Y,,,,,,,
11060800,청량리동,345954,5.083333333333333,30.783333333333335,35.86666666666667,,,Y,,,,,,,
11060810,용신동,646958,11.533333333333333,25.633333333333333,37.166666666666664,,,,Y,,,,,,
11060820,제기동,340596,7.333333333333333,26.566666666666666,33.9,,,Y,Y,,,,,,
11060830,전농1동,340837,7.083333333333333,30.383333333333333,37.46666666666667,,,Y,,,,,,,
11060840,전농2동,344550,8.683333333333334,32.45,41.13333333333334,,,Y,,,,,,,
11060860,답십리2동,343569,9.616666666666667,31.833333333333332,41.45,,,Y,,,,,,,
11080580,돈암1동,647486,9.916666666666666,27.8,37.71666666666667,,,Y,Y,,,,,,
11080590,돈암2동,346672,14.833333333333334,25.816666666666666,40.65,,,,Y,,,,,,
11080600,안암동,347742,8.333333333333334,25.0,33.333333333333336,,,Y,Y,Y,,,,,
11080610,보문동,613834,9.566666666666666,24.45,34.016666666666666,,,Y,Y,Y,,,,,
11080680,길음2동,1749495,12.233333333333333,30.1,42.333333333333336,,,Y,Y,,,,,,
11080710,월곡1동,647677,11.183333333333334,30.95,42.13333333333333,,,Y,Y,,,,,,
11080760,장위1동,346159,11.366666666666667,33.333333333333336,44.7,,,Y,Y,,,,,,
11080770,장위2동,647437,10.166666666666666,33.416666666666664,43.58333333333333,,,Y,Y,,,,,,
11080840,종암동,588168,7.233333333333333,28.666666666666668,35.9,,,Y,Y,,,,,,
11080850,석관동,346154,7.533333333333333,34.88333333333333,42.416666666666664,,,Y,,,,,,,
11130620,홍제1동,226756,32.05,12.566666666666666,44.61666666666666,,,,,,,Y,Y,,
11130640,홍제3동,228601,27.95,14.233333333333333,42.18333333333333,,,,,,,Y,,,
11130650,홍제2동,225751,30.9,10.75,41.65,,,,,,,Y,Y,,
11130660,홍은1동,228056,28.483333333333334,15.383333333333333,43.86666666666667,,,,,,Y,Y,,,
11140590,용강동,636971,34.75,6.533333333333333,41.28333333333333,,,,,,,,Y,,
11140600,대흥동,554045,34.083333333333336,4.15,38.233333333333334,,,,,,,,Y,Y,
11140630,신수동,222053,36.733333333333334,8.083333333333334,44.81666666666667,,,,,,,,Y,Y,
11140750,도화동,225092,34.55,6.183333333333334,40.733333333333334,,,,,,,,Y,,
11140780,아현동,226773,31.75,0.0,31.75,,,,,,,,Y,Y,
11190540,여의동,224341,37.13333333333333,7.05,44.18333333333333,,,,,,,,Y,Y,
11010580,교남동,637014,26.633333333333333,8.35,34.983333333333334,,,,,,,Y,Y,,
11010600,가회동,223625,23.9,16.55,40.45,,,,,,Y,,,,
11010610,종로1·2·3·4가동,223949,20.65,16.783333333333335,37.43333333333334,,,,,,Y,,,,
